Cid	A	B	C	D	E	NAME	FORMULA	EXACT_MASS	MOL_WEIGHT	REMARK	PubChem	ChEBI	ChEMBL	PDB.CCD	LIPIDMAPS	LipidBank	SEQUENCE
C07408						Protriptyline	C19H21N	263.1674	263.3767	Same as: D08447	9612	8597	CHEMBL668				
C07409						Pyrantel	C11H14N2S	206.0878	206.3073	Same as: D08451	9613	8654	CHEMBL1626223				
C07410						Pyridostigmine	C9H13N2O2	181.0977	181.2117	ATC code: N07AA02///Drug group: DG00988	9614	8665	CHEMBL1115				
C07411						Paramethadione	C7H11NO3	157.0739	157.1671	Same as: D00495	9615	7921	CHEMBL1100				
C07412						Pyrvinium	C26H28N3	382.2283	382.5206	ATC code: P02CX01///Drug group: DG01027	9616	8687	CHEMBL1201303				
C07413						Paramethasone	C22H29FO5	392.1999	392.4611	Same as: D07464	9617	7922	CHEMBL1579				
C07414						Pargyline	C11H13N	159.1048	159.2276	Same as: D08453	9618	7930	CHEMBL673				
C07415						Paroxetine	C19H20FNO3	329.1427	329.3654	Same as: D02362	9619	7936	CHEMBL490	8PR			
C07416						Penbutolol	C18H29NO2	291.2198	291.4284	Same as: D08074	9620	7954	CHEMBL1290				
C07417						Penciclovir	C10H15N5O3	253.1175	253.2578	Same as: D05407	9621	7956	CHEMBL1540	PE2			
C07418						Penicillamine	C5H11NO2S	149.051	149.2113	Same as: D00496	9622	7959	CHEMBL1430	LEI			
C07420						Pentamidine	C19H24N4O2	340.1899	340.4195	Same as: D08333	9624	45081	CHEMBL55	PNT			
C07421						Pentazocine	C19H27NO	285.2093	285.4238	Same as: D00498	9625	7982	CHEMBL560				
C07422						Pentobarbital;///5-Ethyl-5-(1-methylbutyl)-2,4,6(1H,3H,5H)-pyrimidinetrione	C11H18N2O3	226.1317	226.2722	Same as: D00499	9626	7983	CHEMBL448				
C07423						Pentobarbital sodium	C11H17N2O3. Na	248.1137	248.254	Same as: D00500	9627	7984	CHEMBL971				
C07424						Pentoxifylline	C13H18N4O3	278.1379	278.307	Same as: D00501	9628	7986	CHEMBL628	PNX			
C07425						Pergolide	C19H26N2S	314.1817	314.4881	Same as: D08339	9629	63617	CHEMBL1180810 CHEMBL531				
C07427						Perphenazine;///4-(3-(2-Chlorophenothiazin-10-YL)propyl)-1-piperazineethanol	C21H26ClN3OS	403.1485	403.9686	Same as: D00503	9631	8028	CHEMBL567				
C07428						Phenacemide	C9H10N2O2	178.0742	178.1879	Same as: D00504	9632	8049	CHEMBL918				
C07429						Phenazopyridine;///3-(Phenylazo)-2,6-pyridinediamine	C11H11N5	213.1014	213.2385	Same as: D08346	9633	71416	CHEMBL1242				
C07430						Phenelzine	C8H12N2	136.1	136.1943	Same as: D08349	9634	8060	CHEMBL1089				
C07431						Phenelzine sulfate	C8H12N2. H2SO4	234.0674	234.2728	Same as: D00505	9635	8061	CHEMBL1200895				
C07432						Phenmetrazine	C11H15NO	177.1154	177.2429		9636	8067	CHEMBL1201208				
C07435						Phenoxybenzamine	C18H22ClNO	303.139	303.8264	Same as: D08358	9639	8077	CHEMBL753				
C07437						Phensuximide	C11H11NO2	189.079	189.2105	Same as: D00508	9641	8079	CHEMBL797				
C07438						Phentermine;///alpha,alpha-Dimethylphenethylamine	C10H15N	149.1204	149.2328	Same as: D05458	9642	8080	CHEMBL1574				
C07440						Phenylbutazone	C19H20N2O2	308.1525	308.3743	Same as: D00510	9644	48574	CHEMBL101	P1Z			
C07441						Phenylephrine	C9H13NO2	167.0946	167.205	Same as: D08365	9645	8093	CHEMBL1215				
C07445						Pindolol	C14H20N2O2	248.1525	248.3208	Same as: D00513	9648	8214	CHEMBL500				
C07446						Isonicotinic acid	C6H5NO2	123.032	123.1094		9649	6032	CHEMBL1203				
C07447						Acetylhydrazine	C2H6N2O	74.048	74.0818		9650	2422	CHEMBL3091859				
C07448						Burimamide	C9H16N4S	212.1096	212.3151		9651	3221	CHEMBL12160				
C07449						Metiamide	C9H16N4S2	244.0816	244.3801	Same as: D05004	9652	6896	CHEMBL275446				
C07450						Dexmedetomidine	C13H16N2	200.1313	200.2795	Same as: D00514	9653	4466	CHEMBL778				
C07451						Moxonidine	C9H12ClN5O	241.073	241.6775	Same as: D05087	9654	7009	CHEMBL19236				
C07452						Tizanidine	C9H8ClN5S	253.0189	253.7113	Same as: D08611	9655	63629	CHEMBL1079				
C07453						Epinine;///Deoxyepinephrine	C9H13NO2	167.0946	167.205		9656	10554	CHEMBL31088				
C07454						N-Guanylhistamine	C6H11N5	153.1014	153.185		9657		CHEMBL170357				
C07455						Nitroglycerin;///Glyceryl trinitrate	C3H5N3O9	227.0026	227.0865	Same as: D00515	9658	28787	CHEMBL730	TNG			
C07456						Isosorbide dinitrate	C6H8N2O8	236.0281	236.1363	Same as: D00516	9659	6061	CHEMBL6622				
C07457						Amyl nitrite;///Isoamyl nitrite	C5H11NO2	117.079	117.1463	Same as: D00517	9660	2691	CHEMBL1535371				
C07458						Sulfanilamide;///Sulfamine;///Prontosil album	C6H8N2O2S	172.0306	172.2049	Same as: D08543	9661	45373	CHEMBL21	SAN			
C07459						Dichlorphenamide;///Diclofenamide	C6H6Cl2N2O4S2	303.9146	305.1588	Same as: D00518	9662	101085	CHEMBL17	I7A			
C07460						Chloraminophenamide;///4-Amino-6-chloro-1,3-benzenedisulfonamide	C6H8ClN3O4S2	284.9645	285.7284		9663	3602	CHEMBL266240	I7B			
C07461						Chlorothiazide	C7H6ClN3O4S2	294.9488	295.7232	Same as: D00519	9664	3640	CHEMBL842				
C07463						Terfenadine	C32H41NO2	471.3137	471.6734	Same as: D00521	9666	9453	CHEMBL17157				
C07464						Ketanserin	C22H22FN3O3	395.1645	395.4268	Same as: D02363	9667	6123	CHEMBL51				
C07465						Remikiren;///Ro 42-5892	C33H50N4O6S	630.3451	630.8383	Same as: D09038	9668	8803	CHEMBL31601	REM			
C07466						Enalkiren;///A 64662	C35H56N6O6	656.4261	656.8557	Same as: D03738	9669	4787	CHEMBL300337				
C07467						Eprosartan	C23H24N2O4S	424.1457	424.5127	Same as: D04040	9670	4814	CHEMBL813				
C07468						Candesartan	C24H20N6O3	440.1597	440.454	Same as: D00522	9671	3347	CHEMBL1016				
C07469						Irbesartan	C25H28N6O	428.2325	428.5294	Same as: D00523	9672	5959	CHEMBL1513				
C07478						2-Hydroxy-5-methyl-cis,cis-muconate	C7H8O5	172.0372	172.1354		9681	28249					
C07479						2-Oxo-5-methyl-cis-muconate	C7H8O5	172.0372	172.1354		9682	1243					
C07482						Montelukast	C35H36ClNO3S	585.2104	586.1832	Same as: D08229	9685	50730	CHEMBL787	MTK			
C07484						Zaleplon	C17H15N5O	305.1277	305.3339	Same as: D00530	9687	10102	CHEMBL1521				
C07486						Nordazepam;///Desmethyldiazepam;///7-Chloro-1,3-dihydro-5-phenyl-(2H)-1,4-benzodiazepin-2-one	C15H11ClN2O	270.056	270.7136	Same as: D08283	9689	111762	CHEMBL523				
C07487						Nitrazepam	C15H11N3O3	281.08	281.2661	Same as: D00531	9690	7581	CHEMBL13209				
C07488						DMPP;///Dimethylphenylpiperazinium iodide;///1,1-Dimethyl-4-phenylpiperazinium Iodide	C12H19N2. I	318.0593	318.1971		9691	4290	CHEMBL47814				
C07489						Glutethimide;///2-Ethyl-2-phenylglutarimide	C13H15NO2	217.1103	217.2637	Same as: D00532	9692	5439	CHEMBL1102				
C07490						Trichloroethanol;///2,2,2-Trichloroethanol	C2H3Cl3O	147.9249	149.4036		9693	28094	CHEMBL1171	8FH			
C07492						Oxcarbazepine	C15H12N2O2	252.0899	252.268	Same as: D00533	9695	7824	CHEMBL1068				
C07493						10-Hydroxycarbazepine;///10-Hydroxycarbamazepine;///GP 47779	C15H14N2O2	254.1055	254.2839		9696	701	CHEMBL1067				
C07495						Dihydroxycarbazepine;///10,11-Dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide;///10,11-Dihydroxycarbamazepine	C15H14N2O3	270.1004	270.2833		9698	4592					
C07496						Carbamazepine-10,11-epoxide;///Carbamazepine epoxide	C15H12N2O2	252.0899	252.268		9699	3388	CHEMBL1258				
C07498						Malaoxon	C10H19O7PS	314.0589	314.2924		9701		CHEMBL1331476				
C07499						Phenylethylmalonamide;///2-Phenyl-2-ethylmalondiamide;///PEMA	C11H14N2O2	206.1055	206.2411		9702	8097	CHEMBL249467				
C07500						Vigabatrin	C6H11NO2	129.079	129.157	Same as: D00535	9703	63638	CHEMBL89598				
C07501						Felbamate	C11H14N2O4	238.0954	238.2399	Same as: D00536	9704	4995	CHEMBL1094				
C07502						Topiramate	C12H21NO8S	339.0988	339.362	Same as: D00537	9705	63631	CHEMBL220492	TOR			
C07503						Tiagabine	C20H25NO2S2	375.1327	375.548	Same as: D08588	9706	9586	CHEMBL1027				
C07504						Zonisamide	C8H8N2O3S	212.0256	212.2257	Same as: D00538	9707	10127	CHEMBL750	ZON			
C07505						Ethosuximide	C7H11NO2	141.079	141.1677	Same as: D00539	9708	4887	CHEMBL696				
C07508						Pirenzepine	C19H21N5O2	351.1695	351.4023	Same as: D08389	9711	8247	CHEMBL9967				
C07509						Diacetylmonoxime;///2,3-Butanedione monoxime	C4H7NO2	101.0477	101.1039		9712	4480	CHEMBL1255578				
C07510						Hexamethonium	C12H30N2	202.2409	202.38		9713	5700	CHEMBL100622				
C07511						Mecamylamine;///Versamine	C11H21N	167.1674	167.2911	ATC code: C02BB01///Drug group: DG00252	9714	6706	CHEMBL267936				
C07512						Tetraethylammonium	C8H20N	130.1596	130.2511		9715	44296	CHEMBL9324	NET			
C07513						Methoxamine	C11H17NO3	211.1208	211.2576	Same as: D08201	9716	6839	CHEMBL524				
C07514						Amphetamine	C9H13N	135.1048	135.2062	Same as: D07445	9717	2679	CHEMBL405				
C07515						Halothane	C2HBrClF3	195.8902	197.3816	Same as: D00542	9718	5615	CHEMBL931				
C07516						Enflurane	C3H2ClF5O	183.9714	184.4924	Same as: D00543	9719	4792	CHEMBL1257				
C07517						Methoxyflurane	C3H4Cl2F2O	163.9607	164.9661	Same as: D00544	9720	6843	CHEMBL1341				
C07518						Isoflurane	C3H2ClF5O	183.9714	184.4924	Same as: D00545	9721	6015	CHEMBL1256				
C07519						Desflurane	C3H2F6O	168.001	168.0378	Same as: D00546	9722	4445	CHEMBL1200733				
C07520						Sevoflurane	C4H3F7O	200.0072	200.0548	Same as: D00547	9723	9130	CHEMBL1200694				
C07521						Thiopental	C11H18N2O2S	242.1089	242.3378	ATC code: N01AF03 N05CA19///Drug group: DG00790	9724	102166	CHEMBL441				
C07522						Etomidate;///1-(1-Phenylethyl)-imidazole-5-carboxylic acid, ethyl ester	C14H16N2O2	244.1212	244.289	Same as: D00548	9725	4910	CHEMBL681				
C07523						Propofol;///2,6-Diisopropylphenol	C12H18O	178.1358	178.2707	Same as: D00549	9726	44915	CHEMBL526	PFL			
C07524						Midazolam	C18H13ClFN3	325.0782	325.7673	Same as: D00550	9727	6931	CHEMBL655	08J			
C07525						Ketamine	C13H16ClNO	237.092	237.7252	Same as: D08098	9728	6121	CHEMBL742				
C07526						Tetracaine;///Amethocaine	C15H24N2O2	264.1838	264.3633	Same as: D00551	9729	9468	CHEMBL698	TE4			
C07527						Benzocaine;///Ethyl aminobenzoate	C9H11NO2	165.079	165.1891	Same as: D00552	9730	116735	CHEMBL278172				
C07528						Mepivacaine	C15H22N2O	246.1732	246.348	Same as: D08181	9731	6759	CHEMBL1087				
C07529						Bupivacaine;///Marcaine	C18H28N2O	288.2202	288.4277	Same as: D07552	9732	3215 77431	CHEMBL1098				
C07530						Etidocaine	C17H28N2O	276.2202	276.417	Same as: D04095	9733	4904	CHEMBL492				
C07531						Prilocaine	C13H20N2O	220.1576	220.3107	Same as: D00553	9734	8404	CHEMBL1194				
C07532						Ropivacaine	C17H26N2O	274.2045	274.4011	Same as: D08490	9735	8890	CHEMBL1077896				
C07533						Prenalterol	C12H19NO3	225.1365	225.2842	ATC code: C01CA13///Drug group: DG00221	9736	8391	CHEMBL1160714				
C07536						Amobarbital	C11H18N2O3	226.1317	226.2722	Same as: D00555	9739	2673	CHEMBL267894				
C07537						Ethylmorphine	C19H23NO3	313.1678	313.3908	Same as: D07929	9740	4902	CHEMBL1712170				
C07538						Benzphetamine;///Benzfetamine	C17H21N	239.1674	239.3553	Same as: D07514	9741	3044	CHEMBL1201358				
C07539						Aminopyrine;///4-Dimethylaminoantipyrine	C13H17N3O	231.1372	231.2936	Same as: D00556	9742	160246	CHEMBL288470				
C07540						6-Methylergoline	C15H18N2	226.147	226.3168		9743	2215	CHEMBL177641				
C07548						Atracurium	C53H72N2O12	928.5085	929.145	ATC code: M03AC04///Drug group: DG00771	9751	2914	CHEMBL1360				
C07549						Doxacurium	C56H78N2O16	1034.5351	1035.2223		9752	4706	CHEMBL1237123				
C07550						Mivacurium	C58H80N2O14	1028.561	1029.2608		9753	6958	CHEMBL1182833				
C07551						Pancuronium	C35H60N2O4	572.4553	572.8619	ATC code: M03AC01///Drug group: DG00769	9754	7907	CHEMBL185073				
C07553						Vecuronium	C34H57N2O4	557.4318	557.8274	ATC code: M03AC03///Drug group: DG00770	9756	9939	CHEMBL1201219				
C07554						Pipecuronium	C35H62N4O4	602.4771	602.8912		9757	8230	CHEMBL1201206				
C07555						4-Nitroanisole;///p-Nitroanisole	C7H7NO3	153.0426	153.1354		9758	1911	CHEMBL57537				
C07556						Rocuronium	C32H53N2O4	529.4005	529.7742		9759	8884	CHEMBL1201244 CHEMBL4067090				
C07558						Methitural	C12H20N2O2S2	288.0966	288.4294		9761	6831	CHEMBL2104624				
C07559						Chlorphentermine	C10H14ClN	183.0815	183.6779		9762	3646	CHEMBL1201269				
C07560						Methaqualone	C16H14N2O	250.1106	250.2952	Same as: D00557	9763		CHEMBL282052				
C07564						Ropinirole	C16H24N2O	260.1889	260.3746	Same as: D08489	9767	8888	CHEMBL589				
C07565						Acetanilide;///N-Phenylacetamide;///N-Acetylarylamine	C8H9NO	135.0684	135.1632		9768	28884	CHEMBL269644				
C07566						Pimozide	C28H29F2N3O	461.2279	461.5462	Same as: D00560	9769	8212	CHEMBL1423				
C07567						Sertindole	C24H26ClFN4O	440.1779	440.9408	Same as: D00561	9770	9122	CHEMBL12713				
C07568						Ziprasidone	C21H21ClN4OS	412.1125	412.9356	Same as: D08687	9771	10119	CHEMBL708				
C07570						Mirtazapine	C17H19N3	265.1579	265.3529	Same as: D00563	9773	6950	CHEMBL654				
C07571						Fluvoxamine	C15H21F3N2O2	318.1555	318.3347	Same as: D07984	9774	5138	CHEMBL814	FVX			
C07572						Citalopram	C20H21FN2O	324.1638	324.3919	Same as: D07704	9775	3723 77397	CHEMBL549				
C07573						Prontosil;///Sulfamidochrysoidine;///Prontosil rubrum	C12H13N5O2S	291.079	291.3289	Same as: D08542	9776	8464	CHEMBL488279				
C07574						Tartrazine;///Acid Yellow 23;///Food yellow No.4	C16H9N4O9S2. 3Na	533.9504	534.3634		9777	9405					
C07575						Phencyclidine	C17H25N	243.1987	243.3871		9778	8058	CHEMBL275528	1PC			
C07581						Pteridine	C6H4N4	132.0436	132.1228		9783	27601					
C07582						Pteroic acid	C14H12N6O3	312.0971	312.2835		9784	27623	CHEMBL341824	APT PT1			
C07584						Phenindione;///2-Phenyl-1,3-indandione	C15H10O2	222.0681	222.2387	Same as: D08354	9786	8066	CHEMBL711				
C07585						N-Acetylisoniazid;///(N)1-Acetylisoniazid	C8H9N3O2	179.0695	179.176		9787	7207	CHEMBL1442231				
C07586						Fenofibrate	C20H21ClO4	360.1128	360.8313	Same as: D00565	9788	5001	CHEMBL672				
C07588						Salicyluric acid;///Salicylurate;///N-(2-Hydroxybenzoyl)-glycine	C9H9NO4	195.0532	195.1721		9790	9008	CHEMBL586				
C07589						Celecoxib	C17H14F3N3O2S	381.0759	381.3722	Same as: D00567	9791	41423	CHEMBL118	CEL			
C07590						Rofecoxib	C17H14O4S	314.0613	314.3557	Same as: D00568	9792	8887	CHEMBL122	RCX			
C07596						HLo7	C15H17N5O4. 2I	584.937	585.1355		9798	5592					
C07597						Ferroxamine;///Ferrioxamine;///Desferal-iron(III)	C25H45FeN6O8	613.2648	613.5052		9799	5044		0UE BJ5			
C07598						Succimer;///meso-2,3-Dimercaptosuccinic acid	C4H6O4S2	181.9708	182.218	Same as: D00572	9800	63623	CHEMBL1201073				
C07608						Hyperforin	C35H52O4	536.3866	536.785		9810	5834	CHEMBL1237210				
C07612						Leuprolide;///Leuprorelin	C59H84N16O12	1208.6455	1209.3983	Same as: D08113	9814	6427					
C07613						Nafarelin	C66H83N17O13	1321.6356	1322.4713	Same as: D08241	9815	7445					
C07615						Carbimazole	C7H10N2O2S	186.0463	186.2315	Same as: D07616	9817	617099	CHEMBL508102				
C07616						Amphenone B	C16H18N2O	254.1419	254.3269		9818	2678					
C07617						Aminoglutethimide	C13H16N2O2	232.1212	232.2783	Same as: D00574	9819	2654	CHEMBL488				
C07618						Mestranol	C21H26O2	310.1933	310.4299	Same as: D00575	9820	6784	CHEMBL1201151				
C07621						Methallenestril	C18H22O3	286.1569	286.3655	ATC code: G03CB03 G03CC03	9823	6808	CHEMBL1697842				
C07622						Voriconazole;///Vfend	C16H14F3N5O	349.115	349.3105	Same as: D00578	9824	10023	CHEMBL638	VOR			
C07624						Abacavir	C14H18N6O	286.1542	286.3323	Same as: D07057	9826	421707	CHEMBL1380	1KX			
C07625						Chloroquine	C18H26ClN3	319.1815	319.8721	Same as: D02366	9827	3638	CHEMBL76				
C07626						Amodiaquine	C20H22ClN3O	355.1451	355.8612	Same as: D02922	9828	2674	CHEMBL682	CQA			
C07627						Primaquine	C15H21N3O	259.1685	259.3467	Same as: D08420	9829	8405	CHEMBL506				
C07628						Dimethisterone;///Dimethisterone anhydrous	C23H32O2	340.2402	340.499		9830	4606	CHEMBL2106347				
C07630						Sulfadoxine	C12H14N4O4S	310.0736	310.329	Same as: D00580	9832	9329	CHEMBL1539				
C07631						Proguanil;///Chloroguanide;///N-(4-Chlorophenyl)-N'-(isopropyl)-imidodicarbonimidic diamide	C11H16ClN5	253.1094	253.7312	Same as: D08428	9833	8455	CHEMBL1377				
C07633						Mefloquine	C17H16F6N2O	378.1167	378.3122	Same as: D04895	9835	63609 63681	CHEMBL172				
C07634						Halofantrine	C26H30Cl2F3NO	499.1657	500.4237	Same as: D08033	9836	5612	CHEMBL1107				
C07636						Iodoquinol	C9H5I2NO	396.8461	396.951	Same as: D00581	9838	5950	CHEMBL86754				
C07637						Diloxanide furoate	C14H11Cl2NO4	327.0065	328.1474	Same as: D02480	9839	4601	CHEMBL1334860				
C07638						Sodium stibogluconate;///Antimony sodium gluconate	C12H20O17Sb2. 9H2O. 3Na	908.9421	910.9038	Same as: D00582	9840	28148					
C07639						3,3',5'-Triiodo-L-thyronine;///3,3',5'-Triiodothyronine;///Reverse triiodothyronine;///rT3	C15H12I3NO4	650.79	650.9735		9841	11684 28774	CHEMBL1743304				
C07642						Triethylenemelamine;///Trisaziridinyltriazine;///2,4,6-Tris(1-aziridinyl)-s-triazine	C9H12N6	204.1123	204.2318		9844	27919	CHEMBL502384				
C07643						4-Hydroxycyclophosphamide	C7H15Cl2N2O3P	276.0197	277.0854		9845	1864	CHEMBL731				
C07644						4-Ketocyclophosphamide	C7H13Cl2N2O3P	274.0041	275.0695		9846	1887	CHEMBL3544546				
C07645						Aldophosphamide	C7H15Cl2N2O3P	276.0197	277.0854		9847	2560	CHEMBL1593				
C07646						Carboxyphosphamide;///Carboxycyclophosphamide	C7H15Cl2N2O4P	292.0146	293.0848		9848	3410	CHEMBL3544547				
C07647						Phosphoramide mustard;///Phosphamide mustard	C4H11Cl2N2O2P	219.9935	221.0221		9849	8163	CHEMBL525				
C07648						Thioguanine	C5H5N5S	167.0266	167.1917	Same as: D08603	9850	9555	CHEMBL727	DX4			
C07649						5-FU;///Fluorouracil;///5-Fluorouracil	C4H3FN2O2	130.0179	130.0772	Same as: D00584	9851	46345	CHEMBL185	URF			
C07650						Gemcitabine	C9H11F2N3O4	263.0718	263.1981	Same as: D02368	9852	175901	CHEMBL888	GEO			
C07651						WR 1065;///2-[(3-Aminopropyl)amino]ethanethiol	C5H14N2S	134.0878	134.2431		9853	72583	CHEMBL1201382				
C07652						Mifepristone;///RU-486	C29H35NO2	429.2668	429.5937	Same as: D00585	9854	50692	CHEMBL1276308 CHEMBL1987697	486			
C07653						Flutamide	C11H11F3N2O3	276.0722	276.2119	Same as: D00586	9855	5132	CHEMBL806				
C07654						Methacycline;///Metacycline	C22H22N2O8	442.1376	442.4187	Same as: D04972	9856	6805	CHEMBL249837				
C07655						Streptobiosamine	C13H23NO9	337.1373	337.323		9857	9283					
C07656						Gentamicin C1	C21H43N5O7	477.3162	477.5954		9858	27412	CHEMBL195892 CHEMBL463809	51G			
C07657						Netilmicin	C21H41N5O7	475.3006	475.5795	Same as: D08268	9859	7528	CHEMBL1572				
C07658						Sulfadiazine	C10H10N4O2S	250.0524	250.277	Same as: D00587	9860	9328	CHEMBL439				
C07659						Sulfathalidine;///Phthalylsulfathiazole;///2-[[[4-[(2-Thiazolylamino)sulfonyl]phenyl]amino]carbonyl]benzoic acid	C17H13N3O5S2	403.0297	403.4322	Same as: D02440	9861	9336	CHEMBL1524273				
C07660						Levofloxacin;///Ofloxacin S-(-)-form	C18H20FN3O4	361.1438	361.3675	Same as: D08120	9862	63598	CHEMBL33	LFX			
C07661						Gatifloxacin;///AM 1155	C19H22FN3O4	375.1594	375.3941	Same as: D08011	9863	5280	CHEMBL31				
C07662						Sparfloxacin;///cis-5-Amino-1-cyclopropyl-7-(3,5-dimethyl-1-piperazinyl)-6,8-difluoro-1,4-dihydro-4-oxo-3-quinolinecarboxylic acid	C19H22F2N4O3	392.166	392.3998	Same as: D00590	9864	9212	CHEMBL850				
C07663						Moxifloxacin	C21H24FN3O4	401.1751	401.4314	Same as: D08237	9865	63611					
C07664						Trovafloxacin	C20H15F3N4O3	416.1096	416.3533	Same as: D08654	9866	9763	CHEMBL428	TR6			
C07665						Ethionamide	C8H10N2S	166.0565	166.2434	Same as: D00591	9867	4885	CHEMBL1441				
C07666						Dapsone;///4,4'-Sulfonylbisbenzenamine;///Diaphenylsulfone	C12H12N2O2S	248.0619	248.3009	Same as: D00592	9868	4325	CHEMBL1043				
C07668						Apraclonidine	C9H10Cl2N4	244.0283	245.1085	Same as: D07461	9870	2788	CHEMBL647				
C07669						Glimepiride	C24H34N4O5S	490.225	490.6156	Same as: D00593	9871	5383	CHEMBL1481 CHEMBL149223	GMR			
C07670						Repaglinide	C27H36N2O4	452.2675	452.5857	Same as: D00594	9872	8805	CHEMBL1272	BJX			
C07671						Histrelin	C66H86N18O12	1322.6673	1323.5024	Same as: D02369	9873	5739	CHEMBL1201255				
C07672						Biguanide;///Guanylguanidine	C2H7N5	101.0701	101.1105		9874	3095					
C07673						Phenformin;///DBI	C10H15N5	205.1327	205.2596	Same as: D08351	9875	8064	CHEMBL170988	8CV			
C07674						Buformin;///1-Butylbiguanide	C6H15N5	157.1327	157.2168	Same as: D00595	9876	3209	CHEMBL39736	BFR			
C07675						Pioglitazone	C19H20N2O3S	356.1195	356.4387	Same as: D08378	9877	8228	CHEMBL595				
C07677						Acebutolol hydrochloride	C18H28N2O4. HCl	372.1816	372.8869	Same as: D00597	9879	2380	CHEMBL1200813				
C07693						Fenoldopam	C16H16ClNO3	305.0819	305.7561	Same as: D07946	9895	5002	CHEMBL588				
C07695						Sodium nitroprusside dihydrate	C5FeN6O. 2Na. 2H2O	297.949	297.9482	Same as: D00614	9897	9179					
C07699						Nisoldipine	C20H24N2O6	388.1634	388.4144	Same as: D00618	9901	7577 76917	CHEMBL1726				
C07704						Moexipril	C27H34N2O7	498.2366	498.5681	Same as: D08225	9906	6960	CHEMBL1165				
C07706						Perindopril	C19H32N2O5	368.2311	368.4678	Same as: D03753	9908	8024	CHEMBL1581				
C07707						Perindopril erbumine	C19H32N2O5. C4H11N	441.3203	441.6046	Same as: D00624	9909	8025	CHEMBL1200343				
C07709						Candesartan cilexetil	C33H34N6O6	610.254	610.6597	Same as: D00626	9911	3348	CHEMBL1014				
C07710						Telmisartan	C33H30N4O2	514.2369	514.6169	Same as: D00627	9912	9434	CHEMBL1017	TLS			
C07713						Nitrendipine	C18H20N2O6	360.1321	360.3612	Same as: D00629	9915	7582	CHEMBL475534				
C07714						Isosorbide mononitrate	C6H9NO6	191.043	191.1388	Same as: D00630	9916		CHEMBL1311				
C07715						Fluorene;///Diphenylenemethane;///2,2'-Methylenebiphenyl	C13H10	166.0783	166.2185		9917	28266	CHEMBL16236	9FL			
C07717						3,4-Dihydroxyfluorene	C13H10O2	198.0681	198.2173		9919	28752					
C07718						2-Hydroxy-4-(1-oxo-1,3-dihydro-2H-inden-2-ylidene)-but-2-enoic acid	C13H10O4	230.0579	230.2161		9920	1126					
C07719						2-Formyl-1-indanone	C10H8O2	160.0524	160.1693		9921	27534					
C07720						3-Hydroxy-1-indanone	C9H8O2	148.0524	148.1586		9922						
C07721						(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene	C13H12O2	200.0837	200.2332		9923	28234					
C07722						3,4-Dihydroxy-3,4-dihydro-9-fluorenone	C13H10O3	214.063	214.2167		9924						
C07723						4-Hydroxy-9-fluorenone	C13H8O2	196.0524	196.2014		9925						
C07724						1,2-Dihydroxyfluorene	C13H10O2	198.0681	198.2173		9926	28565					
C07725						2-Hydroxy-4-(2-oxo-1,3-dihydro-2H-inden-1-ylidene)but-2-enoic acid	C13H10O4	230.0579	230.2161		9927	1127					
C07726						1-Formyl-2-indanone	C10H8O2	160.0524	160.1693		9928	28779					
C07727						2-Indanone;///2H-Inden-2-one, 1,3-dihydro-	C9H8O	132.0575	132.1592		9929	27930	CHEMBL195557				
C07728						3-Isochromanone;///1,4-Dihydro-3H-2-benzopyran-3-one	C9H8O2	148.0524	148.1586		9930		CHEMBL447815				
C07729						Dibenzofuran;///Diphenylene oxide	C12H8O	168.0575	168.1913		9931	28145	CHEMBL277497	1IT			
C07731						2-Hydroxy-6-oxo-6-(2-hydroxyphenyl)-hexa-2,4-dienoate	C12H10O5	234.0528	234.2048		9933	1135 36538					
C07732						Dibenzo-p-dioxin	C12H8O2	184.0524	184.1907		9934	28891	CHEMBL3184198				
C07733						2,2',3-Trihydroxydiphenylether	C12H10O4	218.0579	218.2054		9935	27381					
C07734						2-Hydroxy-6-oxo-6-(2-hydroxyphenoxy)-hexa-2,4-dienoate	C12H10O6	250.0477	250.2042		9936	19327 28990					
C07736						Etidronic acid;///1-Hydroxyethylidene-1,1-diphosphonic acid;///Ethane-1-hydroxy-1,1-bisphosphonate	C2H8O7P2	205.9745	206.0282	Same as: D02373	9938	4907	CHEMBL871	911			
C07740						Disopyramide phosphate	C21H29N3O. H3PO4	437.208	437.4696	Same as: D00637	9942	4658	CHEMBL1201020				
C07743						Moricizine	C22H25N3O4S	427.1566	427.5166	Same as: D05077	9945	6997	CHEMBL1075				
C07750						Tolterodine	C22H31NO	325.2406	325.4876	Same as: D00646	9952	9622	CHEMBL1382				
C07751						Dofetilide	C19H27N3O5S2	441.1392	441.5648	Same as: D00647	9953	4681	CHEMBL473				
C07752						Alendronic acid;///Alendronate;///(4-Amino-1-hydroxybutylidene)bisphosphonic acid	C4H13NO7P2	249.0167	249.096	Same as: D07119	9954	2567	CHEMBL870	212 AHD			
C07753						Ibutilide	C20H36N2O3S	384.2447	384.5764	Same as: D08060	9955	5856	CHEMBL533				
C07755						Magnesium chloride;///Magnesium chloride anhydrous	MgCl2	93.9227	95.211	ATC code: A12CC01 B05XA11///Drug group: DG00139	9957	6636	CHEMBL2219642				
