	Type	Common-Name
PWY-5817	Polyprenyl-Biosynthesis	dodecaprenyl diphosphate biosynthesis
PWY-7330	UDP-Sugar-Biosynthesis	UDP-<i>N</i>-acetyl-&beta;-L-fucosamine biosynthesis
PWY-6373	CARBOXYLATES-DEG	acrylate degradation
PWY-5122	Polyprenyl-Biosynthesis	geranyl diphosphate biosynthesis
PWY-7331	UDP-Sugar-Biosynthesis	UDP-<i>N</i>-acetyl-&beta;-L-quinovosamine biosynthesis
PWY-5805	Polyprenyl-Biosynthesis	nonaprenyl diphosphate biosynthesis I
PWY-7376	Cobyrinate-diamide-Biosynthesis	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
PWY-5816	Polyprenyl-Biosynthesis	all <i>trans</i> undecaprenyl diphosphate biosynthesis
PWY-7333	UDP-Sugar-Biosynthesis	UDP-<i>N</i>-acetyl-&alpha;-D-fucosamine biosynthesis
PWY-6383	Polyprenyl-Biosynthesis	mono-<i>trans</i>, poly-<i>cis</i> decaprenyl phosphate biosynthesis
PWY-7377	Cobyrinate-diamide-Biosynthesis	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
POLYISOPRENSYN-PWY	Super-Pathways	polyisoprenoid biosynthesis (<i>E. coli</i>)
PWY-7334	UDP-Sugar-Biosynthesis	UDP-<i>N</i>-acetyl-&alpha;-D-quinovosamine biosynthesis
PWY-5785	Polyprenyl-Biosynthesis	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis
PWY-7948	CARBOXYLATES-DEG	4-oxopentanoate degradation
PWY-5807	Polyprenyl-Biosynthesis	heptaprenyl diphosphate biosynthesis
PWY-7335	UDP-Sugar-Biosynthesis	UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis
PWY-5893	Polyprenyl-Biosynthesis	tridecaprenyl diphosphate biosynthesis
PWY0-1465	CARBOXYLATES-DEG	D-malate degradation
PYRUVDEHYD-PWY	CARBOXYLATES-DEG	pyruvate decarboxylation to acetyl CoA
PWY-7336	UDP-Sugar-Biosynthesis	UDP-<i>N</i>-acetyl-&alpha;-D-galactosaminuronate biosynthesis
PWY-5123	All-Trans-Farnesyl-PP-Biosynthesis	<i>trans, trans</i>-farnesyl diphosphate biosynthesis
PWY0-1313	CARBOXYLATES-DEG	acetate conversion to acetyl-CoA
PWY-7874	CARBOXYLATES-DEG	L-threonate degradation
PWY-7343	UDP-Sugar-Biosynthesis	UDP-&alpha;-D-glucose biosynthesis I
PWY-7873	CARBOXYLATES-DEG	D-erythronate degradation II
PWY-7872	CARBOXYLATES-DEG	D-erythronate degradation I
PWY-7871	CARBOXYLATES-DEG	D-threonate degradation
PWY-7344	UDP-Sugar-Biosynthesis	UDP-&alpha;-D-galactose biosynthesis
PWY-5207	CoB-CoM-Reduction	coenzyme B/coenzyme M regeneration I (methanophenazine-dependent)
PWY-7310	CARBOXYLATES-DEG	D-glucosaminate degradation
PWY-7867	CoB-CoM-Reduction	coenzyme B/coenzyme M regeneration IV (H<sub>2</sub>-dependent)
PWY-7346	UDP-Sugar-Biosynthesis	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)
PWY-7866	CoB-CoM-Reduction	coenzyme B/coenzyme M regeneration III (coenzyme F<sub>420</sub>-dependent)
PWY-6038	CARBOXYLATES-DEG	citrate degradation
PWY-7865	CoB-CoM-Reduction	coenzyme B/coenzyme M regeneration II (ferredoxin-dependent)
PWY-7842	UDP-Sugar-Biosynthesis	UDP-yelosamine biosynthesis
PWY-7868	CoB-CoM-Reduction	coenzyme B/coenzyme M regeneration V (formate-dependent)
PWY-5749	CARBOXYLATES-DEG	itaconate degradation
2OXOBUTYRATECAT-PWY	2-Oxobutanoate-Degradation	2-oxobutanoate degradation II
COA-PWY	CoA-Biosynthesis	coenzyme A biosynthesis I (prokaryotic)
PWY-8013	UDP-Nac-Galactosamine-Biosynthesis	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis III
PWY-5130	Super-Pathways	2-oxobutanoate degradation I
PWY-5512	UDP-Nac-Galactosamine-Biosynthesis	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I
PWY-5698	Allantoin-degradation	allantoin degradation to ureidoglycolate II (ammonia producing)
PWY-6634	Sulfur-Metabolism	3-sulfopropanediol degradation
PWY-7387	Sulfur-Metabolism	hypotaurine degradation
PWY-5697	Allantoin-degradation	allantoin degradation to ureidoglycolate I (urea producing)
PWY-5258	Sulfur-Metabolism	methanogenesis from dimethylsulfide
PWY0-41	Super-Pathways	allantoin degradation IV (anaerobic)
PWY-7793	Sulfur-Metabolism	dimethyl sulfide biosynthesis from methionine
PWY-5694	Super-Pathways	allantoin degradation to glyoxylate I
PWY-6043	Sulfur-Metabolism	ethanedisulfonate degradation
PWY-5705	Super-Pathways	allantoin degradation to glyoxylate III
PWY-6058	Sulfur-Metabolism	dimethyl sulfone degradation
PWY-6593	Sulfur-Metabolism	sulfoacetate degradation
PWY-2601	Sulfur-Metabolism	isethionate degradation
PWY-7465	Sulfur-Metabolism	3,3'-thiodipropanoate degradation
SULFATE-CYS-PWY	Super-Pathways	superpathway of sulfate assimilation and cysteine biosynthesis
PWY-6050	Sulfur-Metabolism	dimethyl sulfoxide degradation
PWY-6321	Sulfur-Metabolism	homotaurine degradation
PWY-6642	Sulfur-Metabolism	(<i>R</i>)-cysteate degradation
ALKANEMONOX-PWY	Sulfur-Metabolism	two-component alkanesulfonate monooxygenase
PWY-7462	Sulfur-Metabolism	3,3'-disulfanediyldipropannoate degradation
PWY-5260	Sulfur-Metabolism	methanogenesis from methylthiopropanoate
PWY-7898	Sulfur-Metabolism	4,4'-disulfanediyldibutanoate degradation
PWY-6044	Sulfur-Metabolism	methanesulfonate degradation
PWY-6072	Super-Pathways	superpathway of dimethylsulfone degradation
PWY-6683	Assimilatory-Sulfate-Reduction	assimilatory sulfate reduction III
PWY-5704	Urea-Degradation	urea degradation II
SULFMETII-PWY	Assimilatory-Sulfate-Reduction	assimilatory sulfate reduction II
SO4ASSIM-PWY	Super-Pathways	assimilatory sulfate reduction I
PWY-5703	Urea-Degradation	urea degradation I
VALDEG-PWY	VALINE-DEG	L-valine degradation I
PWY-5057	VALINE-DEG	L-valine degradation II
PWY-6661	SECONDARY-METABOLITE-BIOSYNTHESIS	4-hydroxy-2(1<i>H</i>)-quinolone biosynthesis
PWY-7708	SECONDARY-METABOLITE-BIOSYNTHESIS	lyngbyatoxin biosynthesis
PWY-6703	SECONDARY-METABOLITE-BIOSYNTHESIS	preQ<sub>0</sub> biosynthesis
PWY-6808	SECONDARY-METABOLITE-BIOSYNTHESIS	dTDP-D-forosamine biosynthesis
PWY-6397	Cell-Wall-Biosynthesis	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
PWY-6404	Super-Pathways	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
PWY-7955	SECONDARY-METABOLITE-BIOSYNTHESIS	paerucumarin biosynthesis
PWY-6454	Vancomycin-Resistnace	vancomycin resistance I
PWY-6455	Vancomycin-Resistnace	vancomycin resistance II
PWY-6626	Cell-Wall-Biosynthesis	cytidine-5'-diphosphate-glycerol biosynthesis
PWY-7820	Cell-Wall-Biosynthesis	teichuronic acid biosynthesis (<i>B. subtilis</i> 168)
PWY-7548	SECONDARY-METABOLITE-BIOSYNTHESIS	methylthiolincosamide biosynthesis
PWY-7953	Acetylmuramoyl-Pentapeptide-Biosynthesis	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis III (<i>meso</i>-diaminopimelate containing)
RIBOSYN2-PWY	Flavin-Biosynthesis	flavin biosynthesis I (bacteria and plants)
PWY-7959	SECONDARY-METABOLITE-BIOSYNTHESIS	12-<i>epi</i>-hapalindole biosynthesis
PWY-6167	Flavin-Biosynthesis	flavin biosynthesis II (archaea)
PWY-5935	SECONDARY-METABOLITE-BIOSYNTHESIS	tuberculosinol biosynthesis
PWY-6660	SECONDARY-METABOLITE-BIOSYNTHESIS	2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone biosynthesis
PWY0-1597	Flavin-Biosynthesis	prenylated FMNH<sub>2</sub> biosynthesis
PWY-8007	SECONDARY-METABOLITE-BIOSYNTHESIS	staphylopine biosynthesis
PWY-6387	Acetylmuramoyl-Pentapeptide-Biosynthesis	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)
PWY-6386	Acetylmuramoyl-Pentapeptide-Biosynthesis	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)
PWY-7236	SECONDARY-METABOLITE-BIOSYNTHESIS	mycocyclosin biosynthesis
PWY-7907	SECONDARY-METABOLITE-BIOSYNTHESIS	(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis
PWY0-301	Ascorbate-Degradation	L-ascorbate degradation I (bacterial, anaerobic)
PWY-5979	SECONDARY-METABOLITE-BIOSYNTHESIS	3-amino-5-hydroxybenzoate biosynthesis
PWY-6961	Ascorbate-Degradation	L-ascorbate degradation II (bacterial, aerobic)
PWY-7954	SECONDARY-METABOLITE-BIOSYNTHESIS	tabtoxinine-&beta;-lactam biosynthesis
PWY-5521	Ascorbate-Biosynthesis	L-ascorbate biosynthesis III
PWY-7958	SECONDARY-METABOLITE-BIOSYNTHESIS	12-<i>epi</i>-fischerindole biosynthesis
PWY-7165	Ascorbate-Biosynthesis	L-ascorbate biosynthesis VI (engineered pathway)
PWY-6648	SECONDARY-METABOLITE-BIOSYNTHESIS	rhamnolipid biosynthesis
PWY-7991	SECONDARY-METABOLITE-BIOSYNTHESIS	toxoflavin biosynthesis
PWY-6662	Super-Pathways	superpathway of quinolone and alkylquinolone biosynthesis
PWY-7153	SECONDARY-METABOLITE-BIOSYNTHESIS	grixazone biosynthesis
PWY-7751	SECONDARY-METABOLITE-BIOSYNTHESIS	shinorine biosynthesis
PWY8J2-20	SECONDARY-METABOLITE-BIOSYNTHESIS	pulcherrimin biosynthesis
PWY-6657	Storage-Compounds-Biosynthesis	polyhydroxydecanoate biosynthesis
PWY-6795	SECONDARY-METABOLITE-BIOSYNTHESIS	diacylglyceryl-<i>N,N,N</i>-trimethylhomoserine biosynthesis
PWY-7218	Super-Pathways	photosynthetic 3-hydroxybutanoate biosynthesis (engineered)
PWY-7906	SECONDARY-METABOLITE-BIOSYNTHESIS	rhizobitoxine biosynthesis
PWY-7216	Storage-Compounds-Biosynthesis	(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)
PWY-6831	SECONDARY-METABOLITE-BIOSYNTHESIS	pyrrolnitrin biosynthesis
PWY-7052	Storage-Compounds-Biosynthesis	cyanophycin metabolism
PWY-7531	SECONDARY-METABOLITE-BIOSYNTHESIS	mannojirimycin biosynthesis
PWY1-3	Storage-Compounds-Biosynthesis	polyhydroxybutanoate biosynthesis
PWY-6069	SECONDARY-METABOLITE-BIOSYNTHESIS	indigo biosynthesis
PWY-6421	Arsenate-Detoxification	arsenate detoxification III (mycothiol)
PWY-7536	SECONDARY-METABOLITE-BIOSYNTHESIS	2-amino-3-hydroxycyclopent-2-enone biosynthesis
PWY-4621	Arsenate-Detoxification	arsenate detoxification II (glutaredoxin)
PWY-7957	SECONDARY-METABOLITE-BIOSYNTHESIS	hapalindole H biosynthesis
PWY-6644	SECONDARY-METABOLITE-BIOSYNTHESIS	fluoroacetate and fluorothreonine biosynthesis
PWY-7040	SECONDARY-METABOLITE-BIOSYNTHESIS	violacein biosynthesis
PWY-7960	SECONDARY-METABOLITE-BIOSYNTHESIS	rhabduscin biosynthesis
CYANCAT-PWY	NITROGEN-DEG	cyanate degradation
PWY-7765	3-OH-4-Methyl-Anthranilate-Biosynthesis	3-hydroxy-4-methyl-anthranilate biosynthesis II
PWY-7717	3-OH-4-Methyl-Anthranilate-Biosynthesis	3-hydroxy-4-methyl-anthranilate biosynthesis I
PWY-6502	Metabolic-Clusters	oxidized GTP and dGTP detoxification
PWY-6646	Detoxification	fluoroacetate degradation
PWY-6997	Detoxification	furfural degradation
PWY1G-1	Detoxification	mycothiol-mediated detoxification
PWY0-1305	GLUTAMATE-DEG	L-glutamate degradation IX (via 4-aminobutanoate)
PWY0-1299	Acid-Resistance	arginine dependent acid resistance
PWY-7685	L-Malate-Degradation	L-malate degradation I
PWY-1281	Sulfoacetaldehyde-Degradation	sulfoacetaldehyde degradation I
PWY-6718	Sulfoacetaldehyde-Degradation	sulfoacetaldehyde degradation III
PWY-5982	Sulfoacetaldehyde-Degradation	sulfoacetaldehyde degradation II
P201-PWY	Other-Degradation	nitroglycerin degradation
P481-PWY	Other-Degradation	adamantanone degradation
PWY-7978	Other-Degradation	<i>N</i>-methylpyrrolidone degradation
P401-PWY	Other-Degradation	cyanide degradation
P621-PWY	Other-Degradation	nylon-6 oligomer degradation
PWY-5744	Other-Degradation	glyoxylate assimilation
PWY-7582	Other-Degradation	mercaptosuccinate degradation
P221-PWY	Other-Degradation	octane oxidation
P482-PWY	Other-Degradation	arsonoacetate degradation
PWY-7308	Acrylonitrile-Degradation	acrylonitrile degradation I
P344-PWY	Super-Pathways	superpathway of acrylonitrile degradation
PWY-7309	Acrylonitrile-Degradation	acrylonitrile degradation II
PWY-6151	Super-Pathways	<i>S</i>-adenosyl-L-methionine cycle I
PWY-5041	S-adenosyl-L-methionine-cycle	<i>S</i>-adenosyl-L-methionine cycle II
PWY-5088	Super-Pathways	L-glutamate degradation VIII (to propanoate)
PWY-2503	Benzoate-Degradation	benzoate degradation I (aerobic)
PWY-5637	Nitrobenzene-Degradation	nitrobenzene degradation I
PWY-5430	Super-Pathways	<i>meta</i> cleavage pathway of aromatic compounds
PWY-283	Benzoate-Degradation	benzoate degradation II (aerobic and anaerobic)
PWY-5645	Nitrobenzene-Degradation	4-chloronitrobenzene degradation
PWY-5640	Nitrobenzene-Degradation	nitrobenzene degradation II
PWY-7596	Super-Pathways	superpathway of stearidonate biosynthesis (cyanobacteria)
PWY-7595	PUFA-Biosynthesis	stearidonate biosynthesis (cyanobacteria)
PWY-7583	Arachidonate-Biosynthesis	arachidonate biosynthesis II (bacteria)
PWY-7587	Oleate-Biosynthesis	oleate biosynthesis III (cyanobacteria)
P122-PWY	Pyruvate-Ethanol-Fermentation	heterolactic fermentation
ANAEROFRUCAT-PWY	Super-Pathways	homolactic fermentation
PWY-5530	Sorbitol-Biosynthesis	sorbitol biosynthesis II
PWY-7664	Oleate-Biosynthesis	oleate biosynthesis IV (anaerobic)
PWY-6637	Sulfolactate-Degradation	sulfolactate degradation II
PWY-6616	Sulfolactate-Degradation	sulfolactate degradation I
PWY-6641	Super-Pathways	superpathway of sulfolactate degradation
PWY-6638	Sulfolactate-Degradation	sulfolactate degradation III
CENTBENZCOA-PWY	Benzoyl-CoA-Degradation	benzoyl-CoA degradation II (anaerobic)
PWY-1361	Benzoyl-CoA-Degradation	benzoyl-CoA degradation I (aerobic)
P321-PWY	Benzoyl-CoA-Degradation	benzoyl-CoA degradation III (anaerobic)
PWY0-1337	Fatty-Acid-Degradation	oleate &beta;-oxidation
UBISYN-PWY	Ubiquinone-Biosynthesis	superpathway of ubiquinol-8 biosynthesis (prokaryotic)
PWY-5181	TOLUENE-DEG	toluene degradation III (aerobic) (via <i>p</i>-cresol)
PWY-5184	TOLUENE-DEG	toluene degradation VI (anaerobic)
PWY-6338	Vanillin-Degradation	superpathway of vanillin and vanillate degradation
PWY-5137	Fatty-Acid-Degradation	fatty acid &beta;-oxidation III (unsaturated, odd number)
PWY-6897	Thiamin-Salvage	thiamine salvage II
FAO-PWY	Fatty-Acid-Degradation	fatty acid &beta;-oxidation I
PWY-5340	Sulfur-Metabolism	sulfate activation for sulfonation
PWY-8017	TRYPTOPHAN-DEG	L-tryptophan degradation XIII (Stickland reaction)
PWY-7895	Activation	ethionamide activation
PWY-7896	Activation	isoniazid activation
FLUORENE-DEG-9-ONE-PWY	Fluorene-Degradation	fluorene degradation I
PWY-1381	Fluorene-Degradation	fluorene degradation II
PRPP-PWY	Super-Pathways	superpathway of histidine, purine, and pyrimidine biosynthesis
PWY-2201	Folate-Transformations	folate transformations I
PWY-6630	TYROSINE-SYN	superpathway of L-tyrosine biosynthesis
FUC-RHAMCAT-PWY	Super-Pathways	superpathway of fucose and rhamnose degradation
PWY-4821	UDP-Sugar-Biosynthesis	UDP-&alpha;-D-xylose biosynthesis
PWY-1622	Formaldehyde-Assimilation	formaldehyde assimilation I (serine pathway)
PWY-5655	TRYPTOPHAN-DEG	L-tryptophan degradation IX
PWY-1861	Formaldehyde-Assimilation	formaldehyde assimilation II (assimilatory RuMP Cycle)
PWY-1801	Formaldehyde-Oxidation	formaldehyde oxidation II (glutathione-dependent)
PWY1G-170	Formaldehyde-Oxidation	formaldehyde oxidation III (mycothiol-dependent)
PWY-1723	Formaldehyde-Oxidation	formaldehyde oxidation VI (H<sub>4</sub>MPT pathway)
PWY-7909	Formaldehyde-Oxidation	formaldehyde oxidation VII (THF pathway)
GLUCARGALACTSUPER-PWY	Super-Pathways	superpathway of D-glucarate and D-galactarate degradation
FORMASS-PWY	Formaldehyde-Oxidation	formaldehyde oxidation IV (thiol-independent)
PWY-7908	Formaldehyde-Oxidation	formaldehyde oxidation V (bacillithiol-dependent)
PWY-5180	TOLUENE-DEG	toluene degradation I (aerobic) (<I>via</I> <i>o</I>-cresol)
PWY-7317	dTDP-Sugar-Biosynthesis	superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis
PWY-7438	dTDP-Sugar-Biosynthesis	superpathway of dTDP-glucose-derived antibiotic building blocks biosynthesis
PWY0-845	Vitamin-B6-Biosynthesis	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
ALL-CHORISMATE-PWY	Super-Pathways	superpathway of chorismate metabolism
PWY-5183	TOLUENE-DEG	superpathway of aerobic toluene degradation
PWY-7332	UDP-Sugar-Biosynthesis	superpathway of UDP-<I>N</i>-acetylglucosamine-derived O-antigen building blocks biosynthesis
SUCSYN-PWY	Super-Pathways	sucrose biosynthesis I (from photosynthesis)
PWY-5294	Super-Pathways	superpathway of sulfide oxidation (<i>Acidithiobacillus ferrooxidans</i>)
PWY-6629	TRYPTOPHAN-BIOSYNTHESIS	superpathway of L-tryptophan biosynthesis
PWY-1541	Taurine-degradation	superpathway of taurine degradation
PWY-7622	UDP-Sugar-Biosynthesis	UDP-&alpha;-D-galactofuranose biosynthesis
THRESYN-PWY	THREONINE-BIOSYNTHESIS	superpathway of L-threonine biosynthesis
PWY-5179	TOLUENE-DEG	toluene degradation V (aerobic) (<I>via</I> toluene-<I>cis</I>-diol)
PWY0-781	Super-Pathways	aspartate superpathway
PWY-5182	TOLUENE-DEG	toluene degradation II (aerobic) (via 4-methylcatechol)
PWY-5335	Super-Pathways	superpathway of sulfide oxidation (<i>Starkeya novella</i>)
PWY-7328	UDP-Sugar-Biosynthesis	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis
PWY-5344	Other-Amino-Acid-Biosynthesis	L-homocysteine biosynthesis
PWY-5360	Tetrathionate-Reduction	superpathway of tetrathionate reduction (<i>Salmonella typhimurium</i>)
PWY-6395	Super-Pathways	superpathway of seleno-compound metabolism
PWY-6505	TRYPTOPHAN-DEG	L-tryptophan degradation XII (Geobacillus)
PWY-7275	Other-Amino-Acid-Biosynthesis	L-homophenylalanine biosynthesis
HOMOSERSYN-PWY	Other-Amino-Acid-Biosynthesis	L-homoserine biosynthesis
TCA-GLYOX-BYPASS	TCA-VARIANTS	superpathway of glyoxylate bypass and TCA
PWY-3941	Beta-Alanine-Biosynthesis	&beta;-alanine biosynthesis II
PWY-5155	Beta-Alanine-Biosynthesis	&beta;-alanine biosynthesis III
PWY-3982	Uracil-Degradation	uracil degradation I (reductive)
THREOCAT-PWY	THREONINE-DEG	superpathway of L-threonine metabolism
GALACT-GLUCUROCAT-PWY	Super-Pathways	superpathway of hexuronide and hexuronate degradation
MET-SAM-PWY	Super-Pathways	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis
2ASDEG-PWY	AROMATIC-COMPOUNDS-DEGRADATION	orthanilate degradation
PWY-5178	TOLUENE-DEG	toluene degradation IV (aerobic) (via catechol)
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION	4-hydroxyphenylacetate degradation
PWY-6676	Super-Pathways	superpathway of sulfide oxidation (phototrophic sulfur bacteria)
4-HYDROXYMANDELATE-DEGRADATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION	4-hydroxymandelate degradation
CITRULLINE-DEG-PWY	MISCELLANEOUS-DEG	L-citrulline degradation
4TOLCARBDEG-PWY	AROMATIC-COMPOUNDS-DEGRADATION	4-toluenecarboxylate degradation
BENZCOA-PWY	Super-Pathways	anaerobic aromatic compound degradation (<i>Thauera aromatica</i>)
ORN-AMINOPENTANOATE-CAT-PWY	PROLINE-SYN	L-ornithine degradation I (L-proline biosynthesis)
PWY-7585	Docosahexaenoate-Biosynthesis	docosahexaenoate biosynthesis II (bacteria)
PWY-6344	MISCELLANEOUS-DEG	L-ornithine degradation II (Stickland reaction)
SUCUTIL-PWY	SUCROSE-DEG	sucrose degradation I (sucrose phosphotransferase)
PWY-621	SUCROSE-DEG	sucrose degradation III (sucrose invertase)
PWY-7598	Alpha-Linolenate-Biosynthesis	&alpha;-linolenate biosynthesis II (cyanobacteria)
PWY-5384	SUCROSE-DEG	sucrose degradation IV (sucrose phosphorylase)
SUCROSEUTIL2-PWY	SUCROSE-DEG	sucrose degradation VII (sucrose 3-dehydrogenase)
PWY-3801	SUCROSE-DEG	sucrose degradation II (sucrose synthase)
PWY-1781	Beta-Alanine-Degradation	&beta;-alanine degradation II
PWY-5490	AROMATIC-COMPOUNDS-DEGRADATION	paraoxon degradation
PWY-6182	Super-Pathways	superpathway of salicylate degradation
PWY-6184	AROMATIC-COMPOUNDS-DEGRADATION	methylsalicylate degradation
PWY-6185	AROMATIC-COMPOUNDS-DEGRADATION	4-methylcatechol degradation (<i>ortho</i> cleavage)
PWY-6210	AROMATIC-COMPOUNDS-DEGRADATION	2-aminophenol degradation
PWY-6339	Super-Pathways	syringate degradation
PWY-6340	AROMATIC-COMPOUNDS-DEGRADATION	5,5'-dehydrodivanillate degradation
PWY-6532	AROMATIC-COMPOUNDS-DEGRADATION	diphenylamine degradation
PWY-6533	AROMATIC-COMPOUNDS-DEGRADATION	aniline degradation
PWY-6550	AROMATIC-COMPOUNDS-DEGRADATION	carbazole degradation
PWY-681	AROMATIC-COMPOUNDS-DEGRADATION	dibenzothiophene desulfurization
PWY-6941	AROMATIC-COMPOUNDS-DEGRADATION	styrene degradation
PWY-6954	Super-Pathways	superpathway of aromatic compound degradation via 2-hydroxypentadienoate
PWY-6956	Super-Pathways	naphthalene degradation to acetyl-CoA
PWY-7002	AROMATIC-COMPOUNDS-DEGRADATION	4-hydroxyacetophenone degradation
PWY-7006	AROMATIC-COMPOUNDS-DEGRADATION	4-amino-3-hydroxybenzoate degradation
PWY-7008	AROMATIC-COMPOUNDS-DEGRADATION	2-hydroxybiphenyl degradation
PWY-7009	AROMATIC-COMPOUNDS-DEGRADATION	2,2'-dihydroxybiphenyl degradation
PWY-5489	AROMATIC-COMPOUNDS-DEGRADATION	methyl parathion degradation
PWY-6996	FLAVONOID-DEG	daidzin and daidzein degradation
PWY-7010	AROMATIC-COMPOUNDS-DEGRADATION	2-propylphenol degradation
PWY-7011	AROMATIC-COMPOUNDS-DEGRADATION	2-isopropylphenol degradation
PWY-7081	AROMATIC-COMPOUNDS-DEGRADATION	4-aminophenol degradation
PWY-721	AROMATIC-COMPOUNDS-DEGRADATION	3-methylquinoline degradation
PWY-741	AROMATIC-COMPOUNDS-DEGRADATION	<I>p</I>-cymene degradation to <I>p</I>-cumate
PWY-7480	AROMATIC-COMPOUNDS-DEGRADATION	2,3-dihydroxybenzoate degradation
PWY-7557	AROMATIC-COMPOUNDS-DEGRADATION	(-)-dehydrodiconiferyl alcohol degradation
PWY-7698	AROMATIC-COMPOUNDS-DEGRADATION	2,5-xylenol and 3,5-xylenol degradation
PWY-7747	AROMATIC-COMPOUNDS-DEGRADATION	diphenyl ethers degradation
PWY-7795	AROMATIC-COMPOUNDS-DEGRADATION	terephthalate degradation
PWY-7825	AROMATIC-COMPOUNDS-DEGRADATION	juglone degradation
PWY-7951	AROMATIC-COMPOUNDS-DEGRADATION	ellagic acid degradation to urolithins
PWY-7982	AROMATIC-COMPOUNDS-DEGRADATION	pinoresinol degradation
PWY0-1277	Super-Pathways	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
PWY5F9-12	AROMATIC-COMPOUNDS-DEGRADATION	biphenyl degradation
PWY5F9-3233	AROMATIC-COMPOUNDS-DEGRADATION	phthalate degradation (aerobic)
PWY-5450	AROMATIC-COMPOUNDS-DEGRADATION	benzene degradation
PWY-5273	Super-Pathways	<i>p</i>-cumate degradation
PWY-5266	Super-Pathways	<I>p</I>-cymene degradation
PWY-5163	AROMATIC-COMPOUNDS-DEGRADATION	<I>p</I>-cumate degradation to 2-hydroxypentadienoate
PWY-5062	Super-Pathways	superpathway of nicotinate degradation
PWY-481	AROMATIC-COMPOUNDS-DEGRADATION	ethylbenzene degradation (anaerobic)
PWY-2504	Super-Pathways	superpathway of aromatic compound degradation via 3-oxoadipate
PWY-142	AROMATIC-COMPOUNDS-DEGRADATION	<i>m</i>-xylene degradation (anaerobic)
PWY-6317	GALACTOSE-DEGRADATION	D-galactose degradation I (Leloir pathway)
PARATHION-DEGRADATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION	parathion degradation
P662-PWY	AROMATIC-COMPOUNDS-DEGRADATION	dibenzofuran degradation
LACTOSECAT-PWY	LACTOSE-DEG	lactose and galactose degradation I
P661-PWY	AROMATIC-COMPOUNDS-DEGRADATION	dibenzo-<I>p</I>-dioxin degradation
PWY-7568	GALACTOSE-DEGRADATION	L-galactose degradation
P345-PWY	AROMATIC-COMPOUNDS-DEGRADATION	aldoxime degradation
GALDEG-PWY	GALACTOSE-DEGRADATION	D-galactose degradation II
P343-PWY	AROMATIC-COMPOUNDS-DEGRADATION	resorcinol degradation
P342-PWY	AROMATIC-COMPOUNDS-DEGRADATION	orcinol degradation
METHYLGALLATE-DEGRADATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION	methylgallate degradation
M-CRESOL-DEGRADATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION	<I>m</I>-cresol degradation
PWY-7628	Nitroaromatic-Degradation	2,4-dinitroanisole degradation
PWY-7403	Nitroaromatic-Degradation	tetramethylpyrazine degradation
PWY-7044	Nitroaromatic-Degradation	5-nitroanthranilate degradation
PWY-2381	Nitrobenzoate-Degradation	4-nitrobenzoate degradation
PWY-5648	2-Nirobenzoate-Degradation	2-nitrobenzoate degradation II
PWY-5647	Super-Pathways	2-nitrobenzoate degradation I
GALLATE-DEGRADATION-I-PWY	GALLATE-DEG	gallate degradation II
P3-PWY	GALLATE-DEG	gallate degradation III (anaerobic)
GALLATE-DEGRADATION-II-PWY	GALLATE-DEG	gallate degradation I
PWY-66	GDP-Sugar-Biosynthesis	GDP-L-fucose biosynthesis I (from GDP-D-mannose)
PWY-7610	GDP-Sugar-Biosynthesis	GDP-6-deoxy-D-<i>altro</i>-heptose biosynthesis
PWY-5659	GDP-Sugar-Biosynthesis	GDP-mannose biosynthesis
PWY-5739	GDP-Sugar-Biosynthesis	GDP-D-perosamine biosynthesis
PWY-6478	GDP-Sugar-Biosynthesis	GDP-D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose biosynthesis
PWY-7573	GDP-Sugar-Biosynthesis	GDP-mycosamine biosynthesis
